run,export,split,n_train,n_val,n_export,best_epoch,stopped_early,contrastive_loss,temperature,temperature_trainable,accumulation_steps,effective_batch_size,best_val_loss,best_val_margin,best_val_i2s_median_rank,best_val_s2i_median_rank,export_i2s_recall@1,export_s2i_recall@1,export_i2s_median_rank,export_s2i_median_rank,export_margin
hpo_loss_lr_temp_20260720_1320/lr3e4_temp010_sym,export_val4096,val,16384,4096,4096,4,True,symmetric_info_nce,0.1,False,4.0,128.0,3.1110425665974617,0.14902925491333008,985.0,1009.0,0.0009765625,0.000732421875,985.0,1009.0,0.14902925491333008
hpo_loss_lr_temp_20260720_1320/lr3e4_temp015_i2s,export_test4096,test,16384,4096,4096,4,True,image_to_spectrum_info_nce,0.15,False,4.0,128.0,3.107150437310338,0.20813417434692383,952.0,1074.0,0.0009765625,0.000732421875,926.0,1051.0,0.20843008160591125
hpo_loss_lr_temp_20260720_1320/lr3e4_temp015_i2s,export_val4096,val,16384,4096,4096,4,True,image_to_spectrum_info_nce,0.15,False,4.0,128.0,3.107150437310338,0.20813417434692383,952.0,1074.0,0.0009765625,0.000732421875,952.0,1074.0,0.20813417434692383
hpo_loss_lr_temp_20260720_1320/lr3e4_temp015_s2i,export_test4096,test,16384,4096,4096,4,True,spectrum_to_image_info_nce,0.15,False,4.0,128.0,3.110004698857665,0.22108370065689087,1164.0,995.0,0.0,0.0009765625,1167.0,979.0,0.2228769063949585
hpo_loss_lr_temp_20260720_1320/lr3e4_temp015_s2i,export_val4096,val,16384,4096,4096,4,True,spectrum_to_image_info_nce,0.15,False,4.0,128.0,3.110004698857665,0.22108370065689087,1164.0,995.0,0.000244140625,0.001220703125,1164.0,995.0,0.22108370065689087
hpo_loss_lr_temp_20260720_1320/lr3e4_temp015_sym,export_test4096,test,16384,4096,4096,4,True,symmetric_info_nce,0.15,False,4.0,128.0,3.1155702732503414,0.20840659737586975,959.0,1010.0,0.001708984375,0.001220703125,933.0,949.0,0.2089567482471466
hpo_loss_lr_temp_20260720_1320/lr3e4_temp015_sym,export_val4096,val,16384,4096,4096,4,True,symmetric_info_nce,0.15,False,4.0,128.0,3.1155702732503414,0.20840659737586975,959.0,1010.0,0.00146484375,0.0009765625,959.0,1010.0,0.20840659737586975
long_simple_20260717_134339,export_test_full,test,46213,8192,6586,3,True,,,False,1,,2.973322104662657,0.10897338390350342,,,0.0019738839473575354,0.0012146978406235576,,,0.23170191049575806
long_simple_20260717_134339,export_val8192,val,46213,8192,8192,3,True,,,False,1,,2.973322104662657,0.10897338390350342,,,0.000732421875,0.000244140625,,,0.10897338390350342
long_simple_pat20_20260717_140310,export_test_full,test,46213,8192,6586,3,True,,,False,1,,2.973097253590822,0.10897517204284668,,,0.0019738839473575354,0.0013665350852534175,,,0.23163378238677979
long_simple_pat20_20260717_140310,export_val8192,val,46213,8192,8192,3,True,,,False,1,,2.973097253590822,0.10897517204284668,,,0.0008544921875,0.000244140625,,,0.10897517204284668
medium_20260715_161821,export_test2048,test,8192,2048,2048,,,,,False,1,,,,,,0.001953125,0.00146484375,,,
medium_20260715_161821,export_val2048,val,8192,2048,2048,,,,,False,1,,,,,,0.00146484375,0.001953125,,,
normalized_medium_20260715_173724,export_test2048,test,8192,2048,2048,,,,,False,1,,,,,,0.0009765625,0.00341796875,,,
normalized_medium_20260715_173724,export_val2048,val,8192,2048,2048,,,,,False,1,,,,,,0.00244140625,0.00048828125,,,
normalized_smoke_20260715,export_val128,val,512,128,128,,,,,False,1,,,,,,0.0078125,0.0078125,,,
remote_debug_20260715_150747,export_val32,val,64,32,32,,,,,False,1,,,,,,0.03125,0.03125,,,
residual_smoke_20260716,,,512,128,,1,True,,,False,1,,3.4658284783363342,-3.725290298461914e-07,,,,,,,
scheduled_smoke_20260715,,,256,128,,1,True,,,False,1,,3.4658418893814087,1.6104429960250854e-05,,,,,,,
sweep_20260715_175816/lr1e4_temp007_b64,export_val2048,val,8192,2048,2048,3,,,,False,1,,3.8578811287879944,,,,0.0,0.0029296875,,,
sweep_20260715_175816/lr3e4_temp003_b64,export_val2048,val,8192,2048,2048,2,,,,False,1,,3.844587504863739,,,,0.00146484375,0.0009765625,,,
sweep_20260715_175816/lr3e4_temp007_b64,export_val2048,val,8192,2048,2048,2,,,,False,1,,3.835076220333576,,,,0.00390625,0.00146484375,,,
sweep_20260715_175816/lr3e4_temp010_b64,export_val2048,val,8192,2048,2048,2,,,,False,1,,3.8287156000733376,,,,0.00146484375,0.0009765625,,,
